2017-03-05 12:47:21.007 INFO  DefaultFactory Logging to 'C:\Alterax\NServiceBus\SchrodersPubSubExample\ClientExampleWithAbstraction\bin\Debug\net461\win7-x64\' with level Info
2017-03-05 12:47:51.504 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 12:47:51.532 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 12:47:51.640 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:47:51.644 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:47:51.647 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:47:51.749 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 12:47:51.757 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 12:47:52.171 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.FailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:47:52.175 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:47:52.177 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:47:52.179 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
