2017-03-05 12:47:51.356 INFO  DefaultFactory Logging to 'C:\Alterax\NServiceBus\SchrodersPubSubExample\ServerWIthAbstraction\bin\Debug\net461\win7-x64\' with level Info
2017-03-05 12:48:49.874 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 12:48:49.897 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 12:48:50.287 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.FailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:48:50.298 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:48:50.300 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:48:50.302 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:48:50.308 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:48:50.315 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:48:50.320 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:48:50.325 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:48:50.405 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 12:48:50.412 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 12:48:50.716 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.PublisherFailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:48:50.722 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
